kod_obce,nazev_obce,volici_v_seznamu,vydane_obalky,platne_hlasy
23,23,"100,00",13104,8485,"64,75",8476,8437,"99,54"
1,Obèanská demokratická strana,1052,"12,46",X
2,Øád národa - Vlastenecká unie,10,"0,11",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,2,"0,02",X
4,Èeská str.sociálnì demokrat.,624,"7,39",X
6,Radostné Èesko,3,"0,03",X
7,STAROSTOVÉ A NEZÁVISLÍ,802,"9,50",X
8,Komunistická str.Èech a Moravy,597,"7,07",X
9,Strana zelenıch,109,"1,29",X
10,"ROZUMNÍ-stop migraci,diktát.EU",35,"0,41",X
12,Strana svobodnıch obèanù,112,"1,32",X
13,Blok proti islam.-Obran.domova,6,"0,07",X
14,Obèanská demokratická aliance,11,"0,13",X
15,Èeská pirátská strana,948,"11,23",X
17,Unie H.A.V.E.L.,3,"0,03",X
19,Referendum o Evropské unii,6,"0,07",X
20,TOP 09,414,"4,90",X
21,ANO 2011,2577,"30,54",X
22,Dobrá volba 2016,3,"0,03",X
23,SPR-Republ.str.Èsl. M.Sládka,21,"0,24",X
24,Køes.demokr.unie-Ès.str.lid.,314,"3,72",X
25,Èeská strana národnì sociální,5,"0,05",X
26,REALISTÉ,58,"0,68",X
27,SPORTOVCI,17,"0,20",X
28,Dìlnic.str.sociální spravedl.,16,"0,18",X
29,Svob.a pø.dem.-T.Okamura (SPD),682,"8,08",X
30,Strana Práv Obèanù,10,"0,11",X
1,1,"100,00",191,148,"77,49",148,148,"100,00"
1,Obèanská demokratická strana,4,"2,70",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,17,"11,48",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,6,"4,05",X
8,Komunistická str.Èech a Moravy,7,"4,72",X
9,Strana zelenıch,1,"0,67",X
10,"ROZUMNÍ-stop migraci,diktát.EU",4,"2,70",X
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,7,"4,72",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,3,"2,02",X
21,ANO 2011,39,"26,35",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,37,"25,00",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,3,"2,02",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),20,"13,51",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",170,121,"71,18",121,118,"97,52"
1,Obèanská demokratická strana,7,"5,93",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,15,"12,71",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,8,"6,77",X
8,Komunistická str.Èech a Moravy,18,"15,25",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",2,"1,69",X
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,3,"2,54",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,2,"1,69",X
21,ANO 2011,47,"39,83",X
22,Dobrá volba 2016,1,"0,84",X
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,6,"5,08",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),9,"7,62",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",96,80,"83,33",80,77,"96,25"
1,Obèanská demokratická strana,6,"7,79",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,5,"6,49",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,3,"3,89",X
8,Komunistická str.Èech a Moravy,11,"14,28",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,3,"3,89",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,5,"6,49",X
17,Unie H.A.V.E.L.,1,"1,29",X
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,0,"0,00",-
21,ANO 2011,29,"37,66",X
22,Dobrá volba 2016,0,"0,00",-
